commentCount,comment_description_cosine,comment_title_cosine,comment_total_words,comment_unique_words,dislikeCount,keyword,keyword_decription_cosine,keyword_title_cosine,likeCount,negative_comment_count,neutral_comment_count,postive_comment_count,rank,video_id,viewCount
24.0,2.188373970982273,0.41231977609668136,540.0,393.0,28.0,abnormal fat metabolism,0.04082370406893622,0.0,28.0,4.0,4.0,8.0,42.0,Lknt75s-UNM,67651.0
0.0,0.0,0.0,0.0,0.0,2.0,abnormal fat metabolism,0.05872026273183423,0.24121450083723633,2.0,0.0,0.0,0.0,43.0,CD-VD5Xqxvc,17202.0
1.0,0.1103747055329332,0.10282619029860793,14.0,13.0,1.0,abnormal fat metabolism,0.13829503724413403,0.07998879257477882,1.0,0.0,0.0,1.0,44.0,j4G2hKVmbv4,1102.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal fat metabolism,0.10411134708112935,0.13165763254792487,0.0,0.0,0.0,0.0,45.0,vo8u3UCKHWc,92.0
5.0,0.32080107735477986,0.06513487335083433,45.0,39.0,0.0,abnormal fat metabolism,0.06634904665838368,0.0,0.0,1.0,1.0,2.0,46.0,bio6mynkHsc,1765.0
0.0,0.0,0.0,0.0,0.0,4.0,abnormal fat metabolism,0.0414976994530068,0.0,4.0,0.0,0.0,0.0,47.0,DghH1bas9SQ,31533.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal fat metabolism,0.05073453840822034,0.0,0.0,0.0,0.0,0.0,48.0,5X08zzpIcXs,7.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal fat metabolism,0.11739940740051999,0.0,0.0,0.0,0.0,0.0,49.0,RhI4zmTWB3s,44.0
65.0,1.4907342333887343,1.673307022390067,1126.0,923.0,29.0,abnormal glucose homeostasis,0.0,0.0,29.0,7.0,12.0,24.0,0.0,JSFiOF7xGfE,181992.0
387.0,5.56506419185722,1.1581766617654483,2172.0,1812.0,73.0,abnormal glucose homeostasis,0.046732318326311896,0.0,73.0,17.0,23.0,60.0,1.0,kb146Y1igTQ,473339.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.0,0.5363499141045838,0.0,0.0,0.0,0.0,2.0,2sqS3hVZx7Y,20.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.25490625121335386,0.12236315986886438,0.0,0.0,0.0,0.0,3.0,VxvHoK9L7b8,51.0
1.0,0.1943763007513045,0.0663485503519349,125.0,90.0,1.0,abnormal glucose homeostasis,0.025171953449475686,0.0,1.0,1.0,0.0,0.0,4.0,VPic6L0KWsU,2342.0
6.0,0.42051090222737875,0.2074833630832508,40.0,35.0,2.0,abnormal glucose homeostasis,0.02795899699070843,0.0,2.0,0.0,1.0,3.0,5.0,07xJ8-SNod0,6500.0
2.0,0.3421717245981636,0.383916935280031,81.0,63.0,1.0,abnormal glucose homeostasis,0.0,0.0,1.0,2.0,0.0,0.0,6.0,_CUOjdA-VG0,409.0
0.0,0.0,0.0,0.0,0.0,1.0,abnormal glucose homeostasis,0.07253469890512002,0.0,1.0,0.0,0.0,0.0,7.0,hTtxggN07KU,805.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.04001839958864046,0.0,0.0,0.0,0.0,0.0,8.0,RNxEiAYkqJY,287.0
3.0,0.34276435229669716,0.20042981087545997,142.0,99.0,1.0,abnormal glucose homeostasis,0.0,0.0,1.0,2.0,0.0,1.0,9.0,RycF0ub2Al0,192266.0
